country,year,measure,domestic_value_added_share_pct,import_content_share
CZE,2012,GFCF_VA_SH,51.520000000,0.484800000
BEL,2012,GFCF_VA_SH,49.514000000,0.504860000
DNK,2012,GFCF_VA_SH,62.434000000,0.375660000
LUX,2011,GFCF_VA_SH,47.520000000,0.524800000
NLD,2011,GFCF_VA_SH,63.896000000,0.361040000
LTU,2011,GFCF_VA_SH,66.156000000,0.338440000
SVN,2011,GFCF_VA_SH,52.852000000,0.471480000
SWE,2011,GFCF_VA_SH,61.903000000,0.380970000
SVK,2011,GFCF_VA_SH,50.209000000,0.497910000
POL,2011,GFCF_VA_SH,63.215000000,0.367850000
ESP,2011,GFCF_VA_SH,71.682000000,0.283180000
PRT,2011,GFCF_VA_SH,65.298000000,0.347020000
PRT,2010,GFCF_VA_SH,64.198000000,0.358020000
LVA,2010,GFCF_VA_SH,62.620000000,0.373800000
ITA,2010,GFCF_VA_SH,74.587000000,0.254130000
ESP,2010,GFCF_VA_SH,74.094000000,0.259060000
SVK,2010,GFCF_VA_SH,55.300000000,0.447000000
SWE,2010,GFCF_VA_SH,63.190000000,0.368100000
FIN,2010,GFCF_VA_SH,61.368000000,0.386320000
POL,2010,GFCF_VA_SH,62.776000000,0.372240000
LTU,2010,GFCF_VA_SH,67.340000000,0.326600000
FRA,2010,GFCF_VA_SH,75.248000000,0.247520000
DEU,2010,GFCF_VA_SH,67.832000000,0.321680000
CZE,2010,GFCF_VA_SH,56.237000000,0.437630000
HUN,2010,GFCF_VA_SH,44.003000000,0.559970000
SVN,2010,GFCF_VA_SH,55.936000000,0.440640000
NLD,2010,GFCF_VA_SH,67.187000000,0.328130000
EST,2010,GFCF_VA_SH,51.537000000,0.484630000
GRC,2010,GFCF_VA_SH,70.172000000,0.298280000
LUX,2010,GFCF_VA_SH,49.878000000,0.501220000
DNK,2010,GFCF_VA_SH,64.632000000,0.353680000
IRL,2010,GFCF_VA_SH,33.800000000,0.662000000
MLT,2012,GFCF_VA_SH,40.185000000,0.598150000
ROU,2012,GFCF_VA_SH,62.394000000,0.376060000
DNK,2014,GFCF_VA_SH,62.768000000,0.372320000
BEL,2014,GFCF_VA_SH,48.295000000,0.517050000
EST,2014,GFCF_VA_SH,47.048000000,0.529520000
AUT,2014,GFCF_VA_SH,58.391000000,0.416090000
CZE,2014,GFCF_VA_SH,49.744000000,0.502560000
DEU,2014,GFCF_VA_SH,67.584000000,0.324160000
FRA,2014,GFCF_VA_SH,73.209000000,0.267910000
FIN,2014,GFCF_VA_SH,63.602000000,0.363980000
BEL,2008,GFCF_VA_SH,50.854000000,0.491460000
AUT,2008,GFCF_VA_SH,59.874000000,0.401260000
CZE,2008,GFCF_VA_SH,57.555000000,0.424450000
