spec_id,features,excluded_country,status,K_Y_h8,K_G_h8
F07,trade+log_gdp_pc,PRT,OK,0.226862837,0.624732846
F07,trade+log_gdp_pc,ROU,OK,0.382111626,0.607260385
F07,trade+log_gdp_pc,SVK,OK,0.392182270,0.644015687
F07,trade+log_gdp_pc,SVN,OK,0.442307723,0.621026899
F07,trade+log_gdp_pc,SWE,OK,0.321497892,0.620797674
F08,debt+liq,AUT,OK,1.501913215,0.703898290
F08,debt+liq,BEL,OK,1.435118237,0.701159946
F08,debt+liq,BGR,OK,1.622130670,0.696855259
F08,debt+liq,CYP,OK,1.401778803,0.695105111
F08,debt+liq,CZE,OK,1.654301792,0.704409159
F08,debt+liq,DEU,OK,1.521399868,0.702941919
F08,debt+liq,DNK,OK,1.452421951,0.708780385
F08,debt+liq,ESP,OK,1.409048764,0.704339694
F08,debt+liq,EST,OK,1.377665730,0.721952950
F08,debt+liq,FIN,OK,1.519886882,0.707270792
F08,debt+liq,FRA,OK,1.506411855,0.704498058
F08,debt+liq,GRC,OK,1.973944708,0.734806349
F08,debt+liq,HRV,OK,1.367899065,0.668193015
F08,debt+liq,HUN,OK,1.480353817,0.668253994
F08,debt+liq,IRL,OK,1.683913842,0.694806088
F08,debt+liq,ITA,OK,1.516360670,0.709338384
F08,debt+liq,LTU,OK,1.321435596,0.737562494
F08,debt+liq,LUX,OK,1.744783594,0.701194538
F08,debt+liq,LVA,OK,1.060488895,0.654919671
F08,debt+liq,MLT,OK,1.452583873,0.703544784
F08,debt+liq,NLD,OK,1.483950206,0.702802384
F08,debt+liq,POL,OK,1.487961263,0.707767908
F08,debt+liq,PRT,OK,1.480489648,0.706759620
F08,debt+liq,ROU,OK,1.479572719,0.723884509
F08,debt+liq,SVK,OK,1.629365305,0.759198449
F08,debt+liq,SVN,OK,1.471415520,0.698216465
F08,debt+liq,SWE,OK,1.463694453,0.699052323
F09,debt+log_gdp_pc,AUT,OK,0.609047596,0.735544884
F09,debt+log_gdp_pc,BEL,OK,0.707100548,0.736087412
F09,debt+log_gdp_pc,BGR,OK,0.783190269,0.735928280
F09,debt+log_gdp_pc,CYP,OK,0.645630547,0.719089788
F09,debt+log_gdp_pc,CZE,OK,0.772258433,0.741861723
F09,debt+log_gdp_pc,DEU,OK,0.651306452,0.734741977
F09,debt+log_gdp_pc,DNK,OK,0.762674713,0.726889091
F09,debt+log_gdp_pc,ESP,OK,0.542755123,0.743584864
F09,debt+log_gdp_pc,EST,OK,0.651090318,0.767876796
F09,debt+log_gdp_pc,FIN,OK,0.622310929,0.732600840
F09,debt+log_gdp_pc,FRA,OK,0.614190139,0.733149161
F09,debt+log_gdp_pc,GRC,OK,0.647160467,0.745835697
F09,debt+log_gdp_pc,HRV,OK,0.577206514,0.716622741
F09,debt+log_gdp_pc,HUN,OK,0.663236797,0.698742045
F09,debt+log_gdp_pc,IRL,OK,0.595063722,0.727185154
F09,debt+log_gdp_pc,ITA,OK,0.586837243,0.740257073
F09,debt+log_gdp_pc,LTU,OK,0.593317999,0.754810164
F09,debt+log_gdp_pc,LUX,OK,1.179502622,0.728519640
F09,debt+log_gdp_pc,LVA,OK,0.580023116,0.719602876
F09,debt+log_gdp_pc,MLT,OK,0.594685613,0.724572923
F09,debt+log_gdp_pc,NLD,OK,0.685829936,0.734184198
F09,debt+log_gdp_pc,POL,OK,0.657134942,0.735598140
F09,debt+log_gdp_pc,PRT,OK,0.632832297,0.733915226
F09,debt+log_gdp_pc,ROU,OK,0.753042965,0.724235726
F09,debt+log_gdp_pc,SVK,OK,0.772673638,0.782928116
F09,debt+log_gdp_pc,SVN,OK,0.648242260,0.719211723
F09,debt+log_gdp_pc,SWE,OK,0.629621682,0.731405036
F10,liq+log_gdp_pc,AUT,OK,0.036026437,0.660386795
F10,liq+log_gdp_pc,BEL,OK,-0.017730717,0.652534750
F10,liq+log_gdp_pc,BGR,OK,0.004297801,0.657491797
F10,liq+log_gdp_pc,CYP,OK,0.104755169,0.649850095
F10,liq+log_gdp_pc,CZE,OK,0.217196831,0.669300242
F10,liq+log_gdp_pc,DEU,OK,0.086149308,0.658999021
F10,liq+log_gdp_pc,DNK,OK,0.138087116,0.656949706
F10,liq+log_gdp_pc,ESP,OK,-0.084576479,0.667888868
F10,liq+log_gdp_pc,EST,OK,0.138849301,0.694152050
F10,liq+log_gdp_pc,FIN,OK,0.021587456,0.655873995
F10,liq+log_gdp_pc,FRA,OK,0.040223986,0.657459025
F10,liq+log_gdp_pc,GRC,OK,0.141188260,0.664780922
F10,liq+log_gdp_pc,HRV,OK,-0.023004111,0.631060210
F10,liq+log_gdp_pc,HUN,OK,0.005636018,0.613325087
F10,liq+log_gdp_pc,IRL,OK,0.110418681,0.629743547
F10,liq+log_gdp_pc,ITA,OK,0.027888739,0.669317281
F10,liq+log_gdp_pc,LTU,OK,0.006684195,0.686500013
F10,liq+log_gdp_pc,LUX,OK,0.863035004,0.698063563
F10,liq+log_gdp_pc,LVA,OK,0.027783558,0.644922756
F10,liq+log_gdp_pc,MLT,OK,0.240675867,0.660585439
F10,liq+log_gdp_pc,NLD,OK,0.105973366,0.659192082
F10,liq+log_gdp_pc,POL,OK,0.055646524,0.660367936
F10,liq+log_gdp_pc,PRT,OK,0.090400133,0.672476559
F10,liq+log_gdp_pc,ROU,OK,0.141846989,0.645524362
F10,liq+log_gdp_pc,SVK,OK,0.189427209,0.724394321
F10,liq+log_gdp_pc,SVN,OK,0.131331410,0.658474639
F10,liq+log_gdp_pc,SWE,OK,0.062860906,0.659004539
F11,trade+debt+liq,AUT,OK,1.120266070,0.642613235
F11,trade+debt+liq,BEL,OK,1.055471921,0.641624004
F11,trade+debt+liq,BGR,OK,1.234995968,0.640049264
F11,trade+debt+liq,CYP,OK,1.071473420,0.626944085
F11,trade+debt+liq,CZE,OK,1.307922470,0.643240695
F11,trade+debt+liq,DEU,OK,1.167501813,0.642232574
F11,trade+debt+liq,DNK,OK,1.110245398,0.650549581
F11,trade+debt+liq,ESP,OK,0.994298379,0.641548754
F11,trade+debt+liq,EST,OK,0.953948361,0.659080727
F11,trade+debt+liq,FIN,OK,1.175407404,0.651956419
F11,trade+debt+liq,FRA,OK,1.148990155,0.645148444
F11,trade+debt+liq,GRC,OK,1.616314944,0.678876802
F11,trade+debt+liq,HRV,OK,0.969782642,0.607281765
F11,trade+debt+liq,HUN,OK,1.065307876,0.627785759
F11,trade+debt+liq,IRL,OK,1.210388256,0.633795013
F11,trade+debt+liq,ITA,OK,1.099974253,0.641370963
F11,trade+debt+liq,LTU,OK,1.047452903,0.687123335
F11,trade+debt+liq,LUX,OK,1.250084004,0.637900140
F11,trade+debt+liq,LVA,OK,0.675114255,0.588895984
F11,trade+debt+liq,MLT,OK,1.085631690,0.651437843
F11,trade+debt+liq,NLD,OK,1.065953543,0.637046380
F11,trade+debt+liq,POL,OK,1.186849053,0.655796553
F11,trade+debt+liq,PRT,OK,1.098961292,0.641568847
F11,trade+debt+liq,ROU,OK,1.019632412,0.650118831
F11,trade+debt+liq,SVK,OK,1.240794913,0.696748122
F11,trade+debt+liq,SVN,OK,1.121794029,0.639331103
F11,trade+debt+liq,SWE,OK,1.029409955,0.632314749
F12,trade+debt+log_gdp_pc,AUT,OK,0.058834959,0.640896828
F12,trade+debt+log_gdp_pc,BEL,OK,0.162275288,0.644226324
F12,trade+debt+log_gdp_pc,BGR,OK,0.131125926,0.652184084
F12,trade+debt+log_gdp_pc,CYP,OK,0.322193755,0.616902298
F12,trade+debt+log_gdp_pc,CZE,OK,0.258085575,0.644730589
F12,trade+debt+log_gdp_pc,DEU,OK,0.163432784,0.641440841
F12,trade+debt+log_gdp_pc,DNK,OK,0.266504186,0.637731061
F12,trade+debt+log_gdp_pc,ESP,OK,-0.092898475,0.649647294
F12,trade+debt+log_gdp_pc,EST,OK,0.091308795,0.669176880
F12,trade+debt+log_gdp_pc,FIN,OK,0.092125498,0.640287191
F12,trade+debt+log_gdp_pc,FRA,OK,0.086157100,0.639934316
F12,trade+debt+log_gdp_pc,GRC,OK,0.254912360,0.670625178
F12,trade+debt+log_gdp_pc,HRV,OK,0.035742433,0.622042407
F12,trade+debt+log_gdp_pc,HUN,OK,0.111933479,0.635352544
F12,trade+debt+log_gdp_pc,IRL,OK,0.198843816,0.636464420
F12,trade+debt+log_gdp_pc,ITA,OK,0.008410710,0.642357377
F12,trade+debt+log_gdp_pc,LTU,OK,0.040615948,0.671871481
F12,trade+debt+log_gdp_pc,LUX,OK,0.551206811,0.633486577
F12,trade+debt+log_gdp_pc,LVA,OK,-0.012573567,0.617379121
F12,trade+debt+log_gdp_pc,MLT,OK,0.040357873,0.652064746
F12,trade+debt+log_gdp_pc,NLD,OK,0.134353550,0.635582266
F12,trade+debt+log_gdp_pc,POL,OK,0.140676442,0.653758286
F12,trade+debt+log_gdp_pc,PRT,OK,0.075336251,0.637902172
F12,trade+debt+log_gdp_pc,ROU,OK,0.113568067,0.618141375
F12,trade+debt+log_gdp_pc,SVK,OK,0.240412291,0.678808783
F12,trade+debt+log_gdp_pc,SVN,OK,0.137377846,0.625287287
F12,trade+debt+log_gdp_pc,SWE,OK,0.061740298,0.634104563
F13,trade+liq+log_gdp_pc,AUT,OK,-0.005347532,0.629089859
F13,trade+liq+log_gdp_pc,BEL,OK,-0.025274851,0.624554283
F13,trade+liq+log_gdp_pc,BGR,OK,-0.087978827,0.630437512
F13,trade+liq+log_gdp_pc,CYP,OK,0.227181067,0.621359601
F13,trade+liq+log_gdp_pc,CZE,OK,0.212006704,0.637206092
F13,trade+liq+log_gdp_pc,DEU,OK,0.088946255,0.628915088
F13,trade+liq+log_gdp_pc,DNK,OK,0.148395074,0.625375890
F13,trade+liq+log_gdp_pc,ESP,OK,-0.210650708,0.632796981
