country,year,tiva2022_gfcf_import_content_raw,trade_z,liq_fa_net_worth_raw,liq_z,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,log_gdp_pc_z
IRL,2018,0.75269,3.20648421858,-0.692351761673,0.709325227369,57168.043524,10.9537503416,1.93792826389
IRL,2019,0.80762,3.75117680853,-0.808060203556,0.513864138894,59080.078808,10.9866490706,2.02367637591
IRL,2020,0.83369,4.0096901131,-0.856503584876,0.432030904533,62464.4,11.0423520734,2.16886214692
IRL,2021,0.87039,4.37361179617,-0.823672730508,0.487490596374,71800.953868,11.18165304,2.53193984814
IRL,2022,0.85124,4.18371805691,-0.639883284324,0.797957876174,75592.542948,11.233112919,2.66606622962
IRL,2023,,,-0.712206000509,0.675786350943,72337.523064,11.1890982647,2.55134527752
IRL,2024,,,-0.74983715184,0.61221773244,72989.6514,11.1980729484,2.57473712909
ITA,1995,0.23025,-1.97409463985,-1.58714836805,-0.802214603263,28327.072424,10.2515732491,0.107755431267
ITA,1996,0.21277,-2.14742845511,-1.64822456933,-0.90538789457,28700.353584,10.2646647217,0.141877389486
ITA,1997,0.22361,-2.03993769095,-1.77258754,-1.1154686909,29237.424272,10.2832048208,0.19020079121
ITA,1998,0.2372,-1.90517759087,-1.97457531336,-1.45667758972,29756.611528,10.3008066225,0.236078589947
ITA,1999,0.24245,-1.85311794956,-2.06683335744,-1.61252497149,30250.818752,10.3172785293,0.279011400729
ITA,2000,0.27067,-1.57328498236,-2.09269502923,-1.65621193535,31410.97092,10.3549125032,0.377101579765
ITA,2001,0.26535,-1.62603875222,-1.95685449844,-1.42674261077,32019.8592,10.3741115893,0.427142582374
ITA,2002,0.25374,-1.74116493044,-1.93824476366,-1.39530601931,32044.555368,10.3748825686,0.429152083128
ITA,2003,0.23925,-1.88484954046,-1.92126404009,-1.36662124351,31892.971992,10.3701409508,0.416793405757
ITA,2004,0.24531,-1.8247578402,-1.97348664657,-1.45483855368,32122.901832,10.3773245074,0.435516816708
ITA,2005,0.25255,-1.7529651158,-2.14436774297,-1.74350033634,32179.390768,10.3790814884,0.44009625796
ITA,2006,0.26637,-1.61592430762,-2.21449277444,-1.8619594112,32627.895888,10.3929229035,0.476172886338
ITA,2007,0.27052,-1.57477240068,-1.98832470204,-1.4799038162,32904.09556,10.4013524141,0.498143784297
ITA,2008,0.26115,-1.66768646527,-1.84383727922,-1.23582768421,32317.348672,10.3833594756,0.45124651638
ITA,2009,0.22441,-2.03200479323,-1.87930952635,-1.29574936254,30425.96284,10.3230515637,0.294058389412
ITA,2010,0.25413,-1.7372976428,-1.78387122873,-1.13452972089,30754.677352,10.3337973707,0.322066543202
ITA,2011,0.26009,-1.67819755475,-1.68905384713,-0.974358964883,30861.69408,10.3372710201,0.331120354295
ITA,2012,0.24987,-1.77954032317,-1.83656485691,-1.22354270692,29815.65524,10.3027888782,0.241245193195
ITA,2013,0.24572,-1.82069223012,-1.99516401033,-1.49145715338,29214.999016,10.2824375213,0.188200881665
ITA,2014,0.25229,-1.75554330756,-2.07014405234,-1.61811758011,29210.173328,10.2822723292,0.187770320673
ITA,2015,0.26266,-1.65271312082,-2.11275062487,-1.6900909548,29513.623944,10.2926072643,0.214707567216
ITA,2016,0.26769,-1.60283502638,-2.03018881294,-1.55062298372,29935.161984,10.3067890545,0.251671358023
ITA,2017,0.27705,-1.51002012301,-2.06784091424,-1.61422699207,30472.516536,10.3245804592,0.298043342795
ITA,2018,0.28135,-1.46738079775,-1.92261159703,-1.36889761111,30788.457168,10.3348951314,0.324927775733
ITA,2019,0.28022,-1.47858601578,-2.07813092065,-1.63160943903,30997.381072,10.3416579984,0.342554689813
ITA,2020,0.26442,-1.63526074583,-2.37650162852,-2.13563371228,28386.4,10.2536654362,0.113208562719
ITA,2021,0.28545,-1.42672469692,-2.41539491239,-2.20133439475,31081.404816,10.3443650035,0.349610299093
ITA,2022,0.32924,-0.992497707767,-2.15998958196,-1.76988960926,32646.063184,10.3934795511,0.477623747287
ITA,2023,,,-2.22696510139,-1.88302835451,32963.707,10.4031624474,0.502861502535
ITA,2024,,,-2.25939169254,-1.9378051426,33237.068032,10.4114210391,0.52438691305
LTU,1995,0.43276,0.0340192576723,-0.305648742462,1.3625653179,7441.023255,8.91476365264,-3.37654024292
LTU,1996,0.42937,0.000403603568396,-0.302482152002,1.36791449734,7874.63703,8.9714023712,-3.22891559795
LTU,1997,0.44627,0.16798606798,-0.433352664332,1.14684080235,8591.351835,9.0585113757,-3.00187239871
LTU,1998,0.42721,-0.0210152202854,-0.37772591857,1.24080857253,9299.6316,9.13773006545,-2.79539472325
LTU,1999,0.38939,-0.396042960171,-0.418310008994,1.17225168627,9263.25549,9.13381083065,-2.80560991987
LTU,2000,0.41428,-0.149230679744,-0.39367547206,1.21386570617,9647.577,9.17446207472,-2.69965544868
